title,author,isbn,publisher,description
내 말은 왜 오해를 부를까 (소통이 어려워 손해 보는 당신을 위한 현실 밀착 대화 공식),김윤나,9791190457385,나무의마음,"소통이 어려운 순간, 나의 마음을 지키며 관계를 바꾸는 
따뜻하고 유능한 말 50!

2017년 《말 그릇》으로 50만 독자에게 ‘마음을 살펴 자신의 말 습관을 변화시키는 법’을 전한 커뮤니케이션 전문가 김윤나 작가가, 이번에는 소통이 서툴러 손해를 본다고 느끼거나 갈등이 두려워 말을 삼키는 직장인, 그리고 어디서든 환영받는 사람이 되고 싶은 대학생 및 사회초년생들을 위해 ‘따뜻하고 유능한’ 원포인트 레슨 50가지를 제시한다. 작가는 삼성, SK, LG 등 대기업에서 강의와 코칭을 진행하며, 많은 이들이 굳어진 언어 습관 때문에 자신도 모르는 ‘말씨의 사각지대’가 생긴다는 사실을 발견했다. 이에 자기주장에만 몰두하거나, 분위기를 해치지 않으려 말을 삼키는 사람들을 위해, MZ세대의 폭풍 공감을 얻고 있는 ‘힐링곰 꽁달이’ 작가와 함께 이 책을 집필하게 되었다. 이 책은 타인을 존중하고 배려하면서도, 자신의 의견을 세련되게 표현하는 법을 ‘현실 밀착 대화 공식’으로 소개한다.

예를 들어, 자료를 분명 보냈는데 받지 못했다며 고집을 부리는 거래처 직원, 어떻게 말해야 공동의 책임을 인정하고 함께 해결책을 찾을 수 있을까? 백만 원을 빌려달라는 친구의 부탁, 어떻게 말해야 민망하게 하지 않으면서도 정확하게 거절할 수 있을까? 오지랖 넓은 선배의 선 넘는 조언, 어떻게 말해야 내 마음을 지키면서도 충고를 현명하게 돌려보낼 수 있을까? 이 외에도 상대의 말을 부정하지 않고 대화를 이어가는 ‘반대의 말씨’, 처음 만난 사람에게 호감을 표현하는 ‘친밀의 말씨’, 상황보다 사람을 먼저 살피는 ‘위로의 말씨’, 잘한 점과 아쉬운 점을 균형 있게 전하는 ‘피드백의 말씨’ 등 일상과 비즈니스 상황에서 바로 써먹을 수 있는 ‘한 끗 다른 말씨’를 재미있는 인스타툰과 결합하여 담아냈다. 각 상황의 맥락과 감정을 짚어가며 오해 없이, 만만하지 않게 마음을 전하는 법을 전문가의 솔루션으로 풀어낸다.

각 챕터 말미에는 다양한 상황별 말하기 전략을 정리한 ‘SUMMARY’를 수록해, 독자가 자신의 대화를 돌아보고 곧바로 실전에 활용할 수 있도록 했다. ‘힐링곰 꽁달이’와 함께 50가지 실전 상황을 미리 터득하고, 어떤 말을 건네야 할지 ‘현실 밀착 대화 공식’을 연습하다 보면, 상대에게 Yes를 이끌어내며 하는 일도 한결 술술 풀릴 것이다. 감정을 제대로 표현하지 못해 부정적인 감정이 쌓여 결국 엉뚱한 방식으로 폭발하거나, 사람들에게 애매하게 끌려다니는 일이 반복되지 않도록, 하고 싶은 말을 단단하게 표현하면서도 따뜻함을 놓치지 않는 법을 이 책이 알려준다."
말 그릇(50만 부 기념 에디션) (비울수록 사람을 더 채우는),김윤나,9791185952987,오아시스,"“당신의 말 그릇을 함부로 버려두지 말라.”
SK, LG, 삼성을 비롯한 수많은 기업과 개인 코칭을 통해 얻은 말에 대한 근본적인 성찰
말의 기술이 아닌 말의 그릇을 키워 그 안에 사람을 담는 법

전국 서점 100주 연속 베스트셀러, 독자들이 뽑은 인생 책! 《말 그릇》이 50만 부 기념으로 새로운 표지로 재탄생했다. 먼저 읽은 독자들의 추천과 함께 말 그릇을 쓰게 된 저자의 미공개 스토리를 함께 실었다. 사람들은 저마다 말을 담는 그릇을 하나씩 지니고 살아간다. 그런데 그 말 그릇의 크기와 상태에 따라 말의 수준과 관계의 깊이가 천차만별로 달라진다. 말을 담아내는 그릇이 넉넉한 사람은 많은 말을 담을 수 있다. 그릇이 깊어 담은 말이 쉽게 새어 나가지 않고, 넓은 그릇에서 필요한 말을 골라낼 수 있다. 그릇이 좁고 얕은 사람은 말이 쉽게 흘러넘치고 불필요한 말을 많이 한다. 이것은 단순한 말 기술의 차이가 아니다. 살면서 만들어진 ‘말 그릇’의 차이 때문이다.  

이 책은 단순히 말 잘하는 법을 알려주는 책이 아니다. 사람마다 가지고 있는 자신의 말 그릇의 의미에 대해 생각해보고 어떻게 하면 나의 말 그릇을 보다 단단하고 깊이 있게 만들 수 있는지 알려주는 책이다. ‘말솜씨’에만 집중하는 사람들은 이목을 끌기 위한 말하기를 사용하지만, ‘말 그릇이 단단한 사람들’은 소통하는 말하기를 사용한다. 저자는 10년이 넘는 시간 동안 다양한 사람들을 코칭하면서 ‘말은 다른 형태의 호흡’임을 깨닫게 되었다고 한다. 말 한마디에는 그 사람의 감정과 살아온 세월의 공식과 평소의 습관이 그대로 드러나기 때문이다. 그렇기 때문에 말에 대한 잔기술을 익히는데 노력하기보다, 말을 담아내는 ‘말 그릇’ 자체를 키우는 것에 집중해야 한다. 자신의 말 그릇을 보다 크고 단단하게 만들기 위한 ‘듣기’의 기술과 말 그릇을 깊게 만드는 ‘말하기’의 기술을 다양한 사례와 함께 알려준다. 말 그릇을 키우는 것은 결국 나를 이해하고 사람을 이해하는 힘을 기르는 법이다. 당신의 말 그릇은 어떤가? 크고 단단해서 그 안에 사람을 담을 수 있는가? 아니면 얕고 작아서 스치는 말 하나에도 불안하게 흔들리는가?"
서른이 지나도 아직 나를 모른다 (불안한 삼십 대를 위한 32가지 자기발견 심리학),김윤나,9791168272576,오아시스,"서른 즈음에는 어른일 줄 알았는데
아직도 ‘진짜 어른’이 된 것 같지 않은 당신에게

삼십 대에 자주 하는, 해야만 하는 고민에 
지혜롭고 다정하게 대처하는 방법
서른이 된 나와 진짜 대화를 나눌 것!

어릴 적 상상해 본 서른의 모습은 어땠던가? 내 이름으로 된 집과 차, 멋지게 일하는 나, 화목한 가정……. 그러나 요즘의 삼십 대에게 그런 것은 없다. 전셋집을 구하기조차 어렵고, 회사에서도 아직 자리 잡은 지 얼마 안 됐을 시기다. 게다가 학자금 대출, 전세 대출 등 남과 가정을 이뤄 같이 살기는커녕 나 하나 먹고살기에도 팍팍하기만 하다. 오래된 친구들과는 어느새 멀어지고 있는데 새로운 친구를 사귈 환경은 되지 않고, 좋은 인간관계를 유지하는 데 신경을 곤두세우느라 피로는 쌓여 간다. 어떻게 하면 잘 살 수 있을까? 잘 산다는 건 무엇일까? 애초에, 나는 어떻게 살고 싶은가?
지금의 삼십 대는 진정한 자신과의 대화를 나눌 기회가 적었던 세대다. 좋은 대학, 좋은 스펙, 좋은 직장을 향해 달리다 막 출발선을 지나고 보니 서른, 어른이 되어야 할 시간에 도착해 있다. 자신이 정말 원하는 것이 무엇인지, 무엇을 좋아하는 사람인지조차 알지 못하는 사람이 많다. 《말 그릇》 시리즈, 《말의 시나리오》 등의 저서를 통해 말과 대화의 중요성을 이야기했던 김윤나 작가가 이번에는 자신과 대화 나누는 방법, 자신의 기질을 파악하는 방법 등을 소개하며 결국 우리가 진정 원하는 곳에 닿을 수 있도록 돕는다. 내가 누구인지 아직도 모르는 이들이 갈피를 찾고 한 걸음 내디딜 용기를 갖기까지, 응원의 목소리가 함께한다. 따뜻하고도 지혜로운 서른 가이드."
엄마의 말 그릇 (비울수록 사랑을 더 채우는),김윤나,9791168271838,카시오페아,"“나의 말을 변화시키고, 리더의 말을 변화시키고
이제는 그 모든 말의 역사인 부모의 말을 변화시켜야 할 때!”

50만 부 이상 판매된 《말 그릇》 시리즈의 완결판! ‘마음을 체크해서 자신의 말 습관을 변화시킨다’는 시리즈의 주제 아래, 이번에는 부모들의 말 습관, 특히 아이들과 가장 밀착되어 생활하는 엄마들의 말을 변화시키기 위한 지침들을 담았다. 자신의 마음을 돌아보고 그 안에 숨겨진 오래된 상처와 욕구, 말의 대물림 등을 발견해서 궁극적으로는 부모와 아이 사이의 말을 변화시키는 데 방점을 두는 책이다. 평소에 아이에게 습관처럼 자주 사용하는 말은 무엇인지, 어떤 상황에서 유독 화가 폭발하는지, 그럴 때 어떻게 하면 감정을 조절할 수 있는지 등을 체크해볼 수 있는 다양한 분석 시트가 담겨 있고, 부모와 아이 모두 상처받지 않기 위해서 기억해야 할 실용적인 대화 지침 등도 함께 담겨 있다."
말 그릇(큰글자도서) (비울수록 사람을 더 채우는),김윤나,9791130644851,카시오페아,"당신의 말이 태어나고 자라는 곳
‘말 그릇’을 키워 관계와 인생의 주인이 되는 법

리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.

사람들은 ‘말재주’가 뛰어난 사람을 부러워하지만, 곁에 두고 싶어 하는 사람은 결국 말에서 마음이 느껴지는 사람이다. 많은 말을 하지 않지만 꼭 필요한 말을 조리 있게 하는 사람, 적절한 때에 입을 열고 정확한 순간에 침묵할 줄 아는 사람, 말 한마디에서도 품격이 느껴지는 사람에게 끌리게 되어 있다. 이 책은 우리의 말 그릇을 크고 단단하게 만들기 위한 다섯 개의 파트로 구성되어 있다.

1부에서는 말 그릇의 의미에 대해 알아보고 2부에서는 말 그릇을 키우기 위해 살펴봐야 할 개인의 감정과 공식, 습관을 알아본다. 이 과정을 차근차근 따라가다 보면 나의 무엇이 말의 성장을 방해하고 있었는지 발견하게 된다. 3부와 4부에서는 말 그릇이 큰 사람들이 사용하는 대표적인 ‘대화 기술’을 소개한다.

마음을 표현하는 가장 직접적인 방법이 말이고, 억울하게도 그 말하는 기술이 매끄럽지 않으면 마음의 길도 막히기 십상이다. 특히 이 파트에서는 ‘대화 기술’ 중에서도 가장 기본적이고 중요한 ‘듣기’와 ‘질문하기’에 대해서 알아보고, 말을 많이 하지 않고도 상대방을 대화로 끌어들이는 기술을 연습해본다. 마지막 5부에서는 사람을 이해한다는 것의 의미에 대해 생각해보고, ‘나는 과연 말의 책임을 감당할 수 있는 사람인가’ 성찰해보고, 관계에서 차이를 극복하기 위해 무엇을 더 고려해야 하는지 알아본다."
리더의 말 그릇(큰글자도서) (비울수록 사람을 더 성장시키는),김윤나,9791130644868,카시오페아,"“리더의 영향력은 말 그릇에서 나온다.”
40만 부 베스트셀러《말 그릇》후속작, 드디어 출간!
‘리더의 말 그릇’을 키워 사람을 성장시키고 성과를 높이는 방법

리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.

사람은 누구나 말을 담아내는 그릇을 하나씩 가지고 살아간다. 그 크기와 깊이만큼 ‘말’을 사용한다. 《말 그릇》의 김윤나 작가가 3년 만에 《리더의 말 그릇》으로 돌아왔다. 그 사이 한 주도 강의를 거르지 않았을 만큼 많은 리더들을 만나고 3~6개월에 걸친 1:1 코칭을 진행했다. 이 책은 그동안 수많은 교육과 코칭을 통해 얻은 말에 대한 근본적인 성찰을 바탕으로 사람을 성장시키고 성과를 만드는 리더의 말 그릇에 대해 알려준다. 구체적이고 다양한 사례를 통해 현장에서 바로 써먹을 수 있도록 리더의 질문기술, 3F 피드백의 기술, 요청과 칭찬의 3C 공식, 면담 전 액션 시트까지 수록해 실용성을 높였다. 이 책에서 부르는 리더는 특정 직업, 연차와 직책을 의미하지 않는다. 당신에게 한 명이라도 파트너와 팔로워가 있다면 ‘리더’이고, 사람 사이에서 ‘관계’와 ‘성과’를 고민하는 사람이라면 그가 바로 ‘리더’이다. 어떤 말 그릇을 가진 리더와 일하는지에 따라 성장의 가능성과 성과의 크기가 달라진다. 리더의 말 그릇을 키워 사람을 성장시키고 성과를 높이는 방법을 담았다."
말의 시나리오(큰글자도서) (어떤 말은 삶의 숨겨진 이야기를 들려준다),김윤나,9791130644790,카시오페아,"말의 시나리오를 바꿀 수 있을 때 우리는 비로소 어른이 된다!
이제는 정말 달라지고 싶은 어른들을 위한 심리 수업

리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.

세바시 300만 화제의 강연자이자 SK, LG, 삼성이 뽑은 최고의 강연자이기도 한 40만 부 『말 그릇』의 저자 김윤나의 새 책 『말의 시나리오』가 출간되었다. 상대와 말할수록 상처받는 사람, 마음에도 없는 말이 불쑥 튀어나와 상대와의 관계가 묘하게 어긋나는 사람, 적절한 타이밍에 제대로 된 말을 찾지 못하고 뒤돌아 후회하는 사람 등 대화가 불편하고 관계가 어려운 사람들에게 ‘말의 시나리오’를 점검해볼 것을 제안한다. 말의 시나리오는 각자의 말이 되풀이해 들려주는 반복되는 삶의 이야기이다. 과거의 경험과 기억은 반복되는 패턴으로 말의 시나리오를 만들고, 말의 시나리오는 자기도 모르는 사이에 곧 내 삶의 시나리오로 굳어진다. 저자는 자꾸만 자기 말에 걸려서 넘어지는 사람들을 위해 새로운 말의 시나리오를 그려볼 것을 제안한다. ‘어떻게 기술적으로 잘 말할 것인가’보다는 ‘내 안에 무엇을 채워서 다르게 말할 것인가’에 집중한다. 새로운 말의 시나리오를 써갈 수 있을 때 우리는 비로소 어른이 된다. 다른 사람의 말에 휘둘리지 않고, 쓸데없는 걱정을 멈추고 자신 있게 삶을 이끌어나갈 수 있게 된다."
"상처 주는 말 하는 친구에게 똑똑하게 말하는 법 (화내지 않고, 참지 않고, 울지 않는 마법의 표현 59)",김윤나,9791191013498,북라이프,"“잠깐만, 내 의견을 말해도 될까?”

존중하고 배려하며 부드럽고 단호하게 이야기하는 법!
두 아이의 엄마이자 소통 전문가 김윤나의 초등 말하기 수업!

친구와 불편한 상황에서 나의 마음을 지키며 관계를 바꾸는 59가지 똑똑한 말! 
40만 부 베스트셀러 《말 그릇》의 작가이자 소통 전문가인 엄마와 
초등학교 4학년 아들이 함께 쓴 어린이 말하기 솔루션!

2017년 《말 그릇》으로 40만 독자에게 ‘단단하게 말하는 법’을 알려준 코칭심리학자 김윤나 작가가 학교라는 작은 사회에서 첫 인간관계를 시작하는 어린이 독자들에게 ‘똑똑한 말하기’ 방법을 제시한다. 두 아이의 엄마이기도 한 작가는 초등학교 4학년 아들과 대화하면서 ‘어린이들이 친구의 말에 상처받는 59가지 상황’을 발견했다. 그리고 친구 관계가 어려운 초등학생들을 위해 아들과 함께 책을 쓰기로 결심했다. 작가는 이 책에서 화내지 않고, 참지 않고, 울지 않고 똑똑하게 말할 수 있는 방법을 마치 아들에게 조언하듯 구체적으로 알려준다.
친구가 내 이름으로 기분 나쁜 별명을 만들어 놀릴 때 어떤 말을 해야 친구를 멈추게 할 수 있을까? 이성 친구에게 고백을 받았는데 거절하고 싶다면 어떤 말을 해야 친구의 마음도 알아주면서 내 마음을 정확하게 전할 수 있을까? 친구가 물건을 잃어버리고 나를 의심할 때 어떤 말을 해야 내 마음이 상하지 않게 지킬 수 있을까? 이 외에도 친구가 빌려 간 돈을 갚지 않을 때, 내 물건을 자기 것처럼 사용할 때, 나랑 놀지 말라고 말하고 다닐 때, 채팅에서 나를 무시할 때 등 구체적인 상황과 바로 활용할 수 있는 ‘똑똑한 한 마디’를 재미있는 만화에 담았다. 그리고 그런 껄끄러운 상황이 왜 만들어졌는지, 그때 어떻게 생각하고 어떤 말을 해야 나도 상처받지 않고 친구에게도 상처 주지 않으면서 마음을 똑똑하게 전할 수 있는지 전문가의 솔루션이 이어진다. 
책 뒤의 ‘부모님 가이드’에는 불편한 상황에 맞닥뜨린 자녀를 어떻게 대해야 할지, 어떤 대화로 친구들과 솔직하게 소통하고 관계를 건강하게 유지하도록 격려할지에 대한 힌트가 담겨 있다. 
이 책을 통해 학교생활에서 일어날 수 있는 59가지 불편한 상황을 간접 체험하고, 그런 상황에서 어떻게 말해야 할지 전문가의 조언과 함께 바로 활용할 수 있는 똑똑한 한 마디를 배운다면, 아이들은 실제 친구 관계를 더 건강하게 꾸려 갈 수 있을 것이다. 감정 표현을 제대로 하지 못해 부정적인 감정이 쌓였다가 엉뚱하게 폭발하거나, 거칠고 공격적으로 말하는 친구들에게 애매하게 끌려다니는 일 없이, 하고 싶은 말을 부드러우면서도 단호하게 표현하는 법을 배울 수 있다."
리더의 말 그릇 (비울수록 사람을 더 성장시키는),김윤나,9791190776615,카시오페아,"“리더의 영향력은 말 그릇에서 나온다.”
40만 부 베스트셀러《말 그릇》후속작, 드디어 출간!
‘리더의 말 그릇’을 키워 사람을 성장시키고 성과를 높이는 방법

사람은 누구나 말을 담아내는 그릇을 하나씩 가지고 살아간다. 그 크기와 깊이만큼 ‘말’을 사용한다. 《말 그릇》의 김윤나 작가가 3년 만에 《리더의 말 그릇》으로 돌아왔다. 그 사이 한 주도 강의를 거르지 않았을 만큼 많은 리더들을 만나고 3~6개월에 걸친 1:1 코칭을 진행했다. 이 책은 그동안 수많은 교육과 코칭을 통해 얻은 말에 대한 근본적인 성찰을 바탕으로 사람을 성장시키고 성과를 만드는 리더의 말 그릇에 대해 알려준다. 구체적이고 다양한 사례를 통해 현장에서 바로 써먹을 수 있도록 리더의 질문기술, 3F 피드백의 기술, 요청과 칭찬의 3C 공식, 면담 전 액션 시트까지 수록해 실용성을 높였다. 이 책에서 부르는 리더는 특정 직업, 연차와 직책을 의미하지 않는다. 당신에게 한 명이라도 파트너와 팔로워가 있다면 ‘리더’이고, 사람 사이에서 ‘관계’와 ‘성과’를 고민하는 사람이라면 그가 바로 ‘리더’이다. 어떤 말 그릇을 가진 리더와 일하는지에 따라 성장의 가능성과 성과의 크기가 달라진다. 리더의 말 그릇을 키워 사람을 성장시키고 성과를 높이는 방법을 담았다."
말의 시나리오 (어떤 말은 삶의 숨겨진 이야기를 들려준다),김윤나,9791168270428,카시오페아,"말의 시나리오를 바꿀 수 있을 때 우리는 비로소 어른이 된다!
이제는 정말 달라지고 싶은 어른들을 위한 심리 수업

세바시 300만 화제의 강연자이자 SK, LG, 삼성이 뽑은 최고의 강연자이기도 한 40만 부 『말 그릇』의 저자 김윤나의 새 책 『말의 시나리오』가 출간되었다. 상대와 말할수록 상처받는 사람, 마음에도 없는 말이 불쑥 튀어나와 상대와의 관계가 묘하게 어긋나는 사람, 적절한 타이밍에 제대로 된 말을 찾지 못하고 뒤돌아 후회하는 사람 등 대화가 불편하고 관계가 어려운 사람들에게 ‘말의 시나리오’를 점검해볼 것을 제안한다. 말의 시나리오는 각자의 말이 되풀이해 들려주는 반복되는 삶의 이야기이다. 과거의 경험과 기억은 반복되는 패턴으로 말의 시나리오를 만들고, 말의 시나리오는 자기도 모르는 사이에 곧 내 삶의 시나리오로 굳어진다. 저자는 자꾸만 자기 말에 걸려서 넘어지는 사람들을 위해 새로운 말의 시나리오를 그려볼 것을 제안한다. ‘어떻게 기술적으로 잘 말할 것인가’보다는 ‘내 안에 무엇을 채워서 다르게 말할 것인가’에 집중한다. 새로운 말의 시나리오를 써갈 수 있을 때 우리는 비로소 어른이 된다. 다른 사람의 말에 휘둘리지 않고, 쓸데없는 걱정을 멈추고 자신 있게 삶을 이끌어나갈 수 있게 된다."
