title,author,isbn,collab_score,content_score,final_score
급류 (정대건 장편소설),정대건,9788937473401,-,-,-
달러구트 꿈 백화점 1 (주문하신 꿈은 매진입니다),이미예,9791165341909,-,-,-
돌이킬 수 있는 (문목하 장편소설),문목하,9791189015381,-,-,-
모순 (양귀자 장편소설),양귀자,9788998441012,-,-,-
밝은 밤 (최은영 첫 장편소설),최은영,9788954681179,-,-,-
소년이 온다 (한강 소설 l 2024년 노벨문학상 수상작가),한강,9788936434120,-,-,-
"용의자 X의 헌신 (제134회 나오키상 수상작, 갈릴레오 시리즈 3)",히가시노 게이고,9788990982704,-,-,-
천 개의 파랑 (2019년 한국과학문학상 장편대상),천선란,9791190090261,-,-,-
초역 니체의 말,프리드리히 니체,9788978496629,-,-,-
홍학의 자리 (정해연 장편소설),정해연,9788954681155,-,-,-
