isbn,title,author,collab_score,content_score,final_score
9788937473166,해가 지는 곳으로 (최진영 장편소설),최진영,0.52,0.773,0.596
9791191824001,"지구 끝의 온실 (여름 에디션,김초엽 장편소설)",김초엽,0.52,0.755,0.59
9788998441012,모순 (양귀자 장편소설),양귀자,0.529,0.719,0.586
9788954681155,홍학의 자리 (정해연 장편소설),정해연,0.298,0.739,0.43
9788956609959,종의 기원 (정유정 장편소설),정유정,0.289,0.75,0.427
9788936456788,아몬드 (손원평 장편소설),손원평,0.289,0.745,0.426
9788956607030,28 (정유정 장편소설),정유정,0.289,0.735,0.422
9791167372864,구의 증명,최진영,0.289,0.729,0.421
9791162203392,아가미 (구병모 장편소설),구병모,0.289,0.71,0.415
9788996991342,미움받을 용기 (반양장) (자유롭고 행복한 삶을 위한 아들러의 가르침),기시미 이치로^고가 후미타케,0.289,0.711,0.415
